State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
West Virginia,54,2011,1294198,14580,539023,73314,155756,82692,150916,62407,15973,9745,1089826,84.21,1486488,806350,743259,63091,7.82,54.25,50.0
Wisconsin,55,2011,3831373,63521,1266895,257107,557127,366423,668444,249480,59397,36992,3461865,90.36,4457584,3071377,2839579,231799,7.55,68.9,63.7
Wyoming,56,2011,375608,5117,115521,29888,70110,37078,61815,23028,4735,3270,345445,91.97,437132,302860,284260,18600,6.14,69.28,65.03
Alabama,1,2012,3209646,58138,1003543,189488,516444,238555,472037,193901,50713,30508,2695189,83.97,3745693,2179075,2001118,177957,8.17,58.18,53.42
Alaska,2,2012,464594,4939,130277,34575,94145,38287,79559,36321,8545,5699,427408,92.0,534987,364276,337915,26361,7.24,68.09,63.16
Arizona,4,2012,4280464,83102,1038170,309290,790409,360519,735758,310661,77074,47093,3668974,85.71,5006638,3054799,2799915,254884,8.34,61.01,55.92
Arkansas,5,2012,1949382,30603,685949,129405,308735,118932,269141,101528,22334,16106,1652130,84.75,2266990,1350277,1252173,98103,7.27,59.56,55.24
California,6,2012,24779784,643839,5107967,1411077,4054381,1959097,4865203,1861112,569482,364732,20193051,81.49,29295636,18488947,16543574,1945373,10.52,63.11,56.47
Colorado,8,2012,3444654,47377,752200,209243,580017,288253,818469,342776,76550,53211,3120719,90.6,3993645,2750169,2530540,219629,7.99,68.86,63.36
Delaware,10,2012,618612,9742,194904,38540,86847,44331,111921,52001,9864,8903,547311,88.47,719197,446039,414521,31517,7.07,62.02,57.64
District of Columbia,11,2012,439531,7794,81081,15782,45655,14083,100904,77488,38125,16274,389392,88.59,528147,365129,332328,32800,8.98,69.13,62.92
Connecticut,9,2012,2457978,36163,682207,130546,302473,182429,503440,294155,73294,40248,2208792,89.86,2845442,1888026,1730018,158009,8.37,66.35,60.8
Florida,12,2012,13503747,296193,4020195,863192,1939033,1236800,2329936,874523,272260,146350,11682289,86.51,15438001,9337584,8529774,807810,8.65,60.48,55.25
Georgia,13,2012,6403838,108712,1810866,365365,1007268,453039,1140757,468599,123173,74746,5443813,85.01,7476643,4771806,4340082,431724,9.05,63.82,58.05
Idaho,16,2012,1012786,13177,280462,88109,191670,91295,175020,56911,14927,11035,909429,89.79,1193211,772073,715012,57062,7.39,64.71,59.92
Hawaii,15,2012,952281,15682,269304,49630,159959,95686,186586,66566,22483,10581,860795,90.39,1065644,650520,612043,38477,5.91,61.04,57.43
Illinois,17,2012,8558895,151829,2313202,565971,1264199,647039,1684348,751407,175113,96485,7497764,87.6,9992930,6584904,5988961,595943,9.05,65.9,59.93
Indiana,18,2012,4278945,71609,1510802,283019,602891,347606,643210,259870,55872,43157,3746427,87.55,5032521,3173141,2912230,260911,8.22,63.05,57.87
Iowa,19,2012,2036993,21678,657642,158526,286686,226481,368331,117508,29743,20738,1865655,91.59,2389698,1660358,1576257,84101,5.07,69.48,65.96
Kansas,20,2012,1863224,22613,509404,149439,306074,149866,362899,149868,33378,20097,1681025,90.22,2174287,1490938,1405657,85281,5.72,68.57,64.65
Kentucky,21,2012,2935461,42801,1000756,192121,414942,211692,378979,185306,46602,28258,2458656,83.76,3389583,2060292,1891237,169055,8.21,60.78,55.8
Louisiana,22,2012,3006605,49571,1029965,157638,488181,160063,433223,155282,45446,26117,2495915,83.01,3502627,2090239,1948835,141403,6.76,59.68,55.64
Maine,23,2012,947017,10292,329267,59370,128191,85732,171449,65911,16093,11276,867289,91.58,1082405,700834,650425,50410,7.19,64.75,60.09
Maryland,24,2012,3972135,57885,1035053,236421,548129,251712,795930,460951,115222,94884,3538302,89.08,4601141,3121325,2906880,214445,6.87,67.84,63.18
Massachusetts,25,2012,4556609,64691,1181922,229750,536287,347381,1011713,541323,132494,104415,4085285,89.66,5351700,3506990,3271574,235416,6.71,65.53,61.13
Michigan,26,2012,6621018,106428,2024195,503556,1078391,575915,1062110,490025,103848,67420,5905460,89.19,7791752,4686362,4262697,423665,9.04,60.15,54.71
Minnesota,27,2012,3600744,41819,952141,245952,555546,381595,807626,272778,72103,42833,3330574,92.5,4184426,2950439,2783840,166599,5.65,70.51,66.53
Mississippi,28,2012,1911968,40033,584142,105917,328359,160169,249319,105946,24029,15722,1573603,82.3,2254011,1330566,1213119,117447,8.83,59.03,53.82
Missouri,29,2012,4023641,62019,1272777,304519,611601,287670,670388,284631,65321,42330,3539237,87.96,4670471,3005067,2789233,215834,7.18,64.34,59.72
Montana,30,2012,686770,6944,204215,46900,126669,57590,138862,42619,13022,7426,637303,92.8,791192,506625,477218,29407,5.8,64.03,60.32
Nebraska,31,2012,1206908,14102,334350,95649,194905,117719,233054,83862,20030,12716,1092285,90.5,1410901,1012944,973500,39443,3.89,71.79,69.0
Nevada,32,2012,1840642,43685,529535,129454,353620,138034,272846,95659,27821,15471,1562440,84.89,2122954,1366620,1207822,158798,11.62,64.37,56.89
New Hampshire,33,2012,919883,11192,270690,54390,114590,87025,201804,87156,15364,13567,844586,91.81,1068654,740956,700584,40372,5.45,69.34,65.56
New Jersey,34,2012,6049352,108512,1737574,303963,733050,372831,1359609,597429,147947,87198,5339601,88.27,6947898,4577200,4147708,429492,9.38,65.88,59.7
New Mexico,35,2012,1360330,22772,360327,77980,242995,111952,202552,106967,22244,23525,1148542,84.43,1593231,928736,863944,64792,6.98,58.29,54.23
New York,36,2012,13309761,304282,3579976,613490,1589218,1128596,2531374,1371561,359112,181715,11355042,85.31,15564711,9603853,8775713,828141,8.62,61.7,56.38
North Carolina,37,2012,6489883,84014,1760704,416106,1012715,562049,1170056,436058,92150,77594,5527432,85.17,7504450,4719446,4270977,448468,9.5,62.89,56.91
North Dakota,38,2012,457904,4511,128310,29968,77563,56223,89629,25163,7503,5580,419939,91.71,544583,395525,383896,11629,2.94,72.63,70.49
Ohio,39,2012,7770716,127315,2687397,542516,1082257,625983,1240747,528409,116545,75611,6899465,88.79,9023547,5712908,5289960,422948,7.4,63.31,58.62
Oklahoma,40,2012,2487456,39605,786275,179102,418825,180387,393930,142002,33095,22280,2155896,86.67,2894377,1795153,1703740,91413,5.09,62.02,58.86
Oregon,41,2012,2671772,47345,670179,227099,485355,219073,497130,212460,54182,35682,2401160,89.87,3098061,1964764,1791561,173202,8.82,63.42,57.83
Pennsylvania,42,2012,8756317,132037,3220877,483219,958587,688751,1484305,665499,166599,119131,7786968,88.93,10156562,6449657,5955824,493833,7.66,63.5,58.64
Rhode Island,44,2012,712271,8599,198539,35237,93355,62628,132903,64882,14832,11126,613502,86.13,848000,560314,502980,57334,10.23,66.07,59.31
South Carolina,45,2012,3151616,59992,937798,192138,471966,281401,504036,212122,43582,31282,2674325,84.86,3655515,2190562,1993104,197458,9.01,59.92,54.52
South Dakota,46,2012,544292,5907,178006,31915,85933,53971,98719,29714,7488,7030,492776,90.54,631724,447124,429000,18124,4.05,70.78,67.91
Tennessee,47,2012,4336473,70048,1433642,280224,641682,283901,680286,257964,69299,45255,3692253,85.14,5020351,3096360,2849574,246786,7.97,61.68,56.76
Texas,48,2012,16390379,283474,4124497,1015898,2743789,1079819,2903294,1076580,240052,164154,13348083,81.44,19328315,12641404,11795769,845636,6.69,65.4,61.03
Vermont,50,2012,434948,4663,132522,21569,49804,39279,95120,42576,10145,7664,398679,91.66,511492,353974,336952,17022,4.81,69.2,65.88
Utah,49,2012,1641335,27601,378463,130416,321066,159358,333947,119791,27527,23256,1493824,91.01,2025840,1348660,1284264,64396,4.77,66.57,63.39
Virginia,51,2012,5504766,74876,1392291,325224,774019,395520,1132326,596854,133652,88672,4838558,87.9,6319657,4218174,3967463,250712,5.94,66.75,62.78
Washington,53,2012,4645859,71928,1101227,366665,812150,448208,944631,372069,91575,63240,4199765,90.4,5380521,3467974,3202466,265508,7.66,64.45,59.52
West Virginia,54,2012,1296201,16155,526232,74059,171674,81746,147257,66360,18384,9683,1095395,84.51,1488022,808227,749686,58541,7.24,54.32,50.38
Wisconsin,55,2012,3854170,58845,1248011,259585,557106,386784,688002,255462,61488,41201,3497639,90.75,4480828,3070074,2857314,212760,6.93,68.52,63.77
Wyoming,56,2012,380942,5693,115631,33188,68136,38055,64409,20963,4466,4440,349288,91.69,443928,303803,287142,16661,5.48,68.44,64.68
Mississippi,28,2013,1931054,36161,591240,113397,329933,162584,248488,104166,23099,17653,1590560,82.37,2264123,1273606,1165488,108119,8.49,56.25,51.48
Missouri,29,2013,4047283,62869,1276285,291992,624386,305928,685991,293327,63486,48201,3589596,88.69,4690656,3012429,2808030,204399,6.79,64.22,59.86
Montana,30,2013,689169,7892,200303,51044,129266,58287,135518,44501,12062,7707,638688,92.68,799350,511164,483869,27295,5.34,63.95,60.53
Nebraska,31,2013,1215208,14694,329595,92705,198278,119325,238160,81414,22745,14473,1096695,90.25,1420828,1015185,977856,37329,3.68,71.45,68.82
Nevada,32,2013,1872884,50494,532452,136846,351012,152516,282283,97337,27801,14679,1594926,85.16,2154637,1370940,1234348,136591,9.96,63.63,57.29
New Hampshire,33,2013,924568,11142,270826,57182,122461,87766,202495,87955,15513,13482,857680,92.77,1075451,743243,704318,38925,5.24,69.11,65.49
New Jersey,34,2013,6086705,104427,1751336,304286,715243,390906,1374616,615250,146050,89953,5387640,88.51,6973700,4528301,4148011,380290,8.4,64.93,59.48
New Mexico,35,2013,1361846,21511,361553,77921,242747,105811,204226,110651,20788,23703,1147400,84.25,1600998,929670,865528,64142,6.9,58.07,54.06
New York,36,2013,13419310,299662,3594712,600689,1559115,1157285,2589891,1435339,352739,195909,11485679,85.59,15639250,9634653,8883124,751529,7.8,61.61,56.8
North Carolina,37,2013,6568110,94056,1743595,423008,1023190,574725,1211484,468270,98672,86563,5629507,85.71,7595424,4701307,4337101,364206,7.75,61.9,57.1
North Dakota,38,2013,467815,4914,128539,28851,79259,64445,93470,23965,5248,4255,428032,91.5,558633,401528,389944,11584,2.88,71.88,69.8
Ohio,39,2013,7805254,130697,2668826,528409,1071231,639633,1279678,552339,126124,82425,6948665,89.03,9060002,5707087,5282928,424159,7.43,62.99,58.31
Oklahoma,40,2013,2506437,44916,809792,173230,414599,179720,402956,136617,33344,23544,2173802,86.73,2921037,1800031,1707841,92190,5.12,61.62,58.47
Oregon,41,2013,2704043,44944,655870,228084,483456,228207,521031,218084,51075,40930,2426737,89.74,3126399,1925209,1775948,149261,7.75,61.58,56.8
Pennsylvania,42,2013,8809510,137764,3209801,475034,953547,692226,1540228,703617,162375,120954,7857782,89.2,10181064,6421174,5964328,456847,7.11,63.07,58.58
Rhode Island,44,2013,719956,10403,191854,38788,94589,59867,142598,62198,16411,11908,618213,85.87,850782,558853,505936,52917,9.47,65.69,59.47
South Carolina,45,2013,3198816,57713,939047,190222,490309,284604,529944,223844,43686,37068,2738724,85.62,3704281,2198242,2035003,163239,7.43,59.34,54.94
South Dakota,46,2013,550959,6230,172701,34979,87722,62856,104240,29835,6862,5369,504564,91.58,638676,447596,431002,16593,3.71,70.08,67.48
Tennessee,47,2013,4370035,74208,1437758,277371,650678,291304,681475,274942,70763,55193,3739484,85.57,5064575,3079368,2841454,237914,7.73,60.8,56.1
Texas,48,2013,16673656,289869,4207669,1037530,2727847,1090662,3044921,1123846,251403,171981,13655859,81.9,19686191,12833158,12025234,807924,6.3,65.19,61.08
Vermont,50,2013,436174,5316,133439,21895,51874,35878,93427,44210,10266,7914,398903,91.46,512771,350256,334798,15458,4.41,68.31,65.29
Utah,49,2013,1670449,29029,382199,132527,331626,159320,348502,123296,26895,24802,1529167,91.54,2063004,1386251,1327893,58358,4.21,67.2,64.37
Virginia,51,2013,5561224,82061,1380486,328196,790023,405760,1172309,614517,129618,93891,4914800,88.38,6383104,4239442,4003367,236075,5.57,66.42,62.72
Washington,53,2013,4706104,86181,1095589,355802,801218,449430,984473,393851,95103,67041,4242507,90.15,5441680,3460668,3231662,229006,6.62,63.6,59.39
West Virginia,54,2013,1294025,17279,520535,77190,164078,87697,146732,70945,17164,10114,1094455,84.58,1487023,799661,745972,53689,6.71,53.78,50.17
Wisconsin,55,2013,3879291,67262,1243158,263182,556741,389016,711851,262821,60906,39053,3526728,90.91,4504761,3077898,2873366,204532,6.65,68.33,63.79
Wyoming,56,2013,383914,4203,109099,33570,73144,41261,68225,22938,5025,5815,359077,93.53,448554,302209,287870,14339,4.74,67.37,64.18
Alabama,1,2013,3225447,60067,1001134,193365,517237,258110,476016,202435,44899,33603,2726799,84.54,3765926,2172942,2013764,159178,7.33,57.7,53.47
Alaska,2,2013,462659,5146,129029,32801,94253,38486,84038,32966,7246,5163,423982,91.64,538482,363638,338209,25430,6.99,67.53,62.81
Arizona,4,2013,4344737,89347,1079149,320720,769346,374877,741982,319970,72087,54402,3732533,85.91,5085868,3064990,2825940,239050,7.8,60.26,55.56
Arkansas,5,2013,1960503,33892,691814,130892,308610,119812,262755,101291,23117,16774,1655065,84.42,2276882,1331776,1237986,93790,7.04,58.49,54.37
California,6,2013,25147232,646377,5228893,1458165,4066032,1980401,4905468,1935122,583878,381266,20539225,81.68,29626794,18568483,16892033,1676450,9.03,62.67,57.02
Colorado,8,2013,3514235,53448,761103,220290,581004,291173,837913,355393,74424,60551,3181851,90.54,4064989,2766607,2580125,186482,6.74,68.06,63.47
Delaware,10,2013,629730,9015,196726,38700,85095,48277,108075,57865,11174,10271,556183,88.32,727677,443691,414378,29314,6.61,60.97,56.95
District of Columbia,11,2013,453014,5871,84220,15746,44778,13818,102958,88292,40345,18011,408168,90.1,538977,374218,342636,31582,8.44,69.43,63.57
Connecticut,9,2013,2465315,36236,673455,134044,301263,184109,508487,300673,68737,39557,2210325,89.66,2856909,1868150,1719711,148439,7.95,65.39,60.19
Florida,12,2013,13726996,304404,4042708,877232,1965096,1300616,2409162,902539,274082,148392,11919827,86.83,15672642,9417334,8708973,708361,7.52,60.09,55.57
Georgia,13,2013,6472172,112034,1850063,370230,1001809,477132,1149847,481823,124458,76991,5532353,85.48,7559402,4751346,4364852,386494,8.13,62.85,57.74
Idaho,16,2013,1026889,15041,281769,86573,187151,93044,185216,59491,14847,9852,917943,89.39,1208621,777683,724711,52972,6.81,64.34,59.96
Hawaii,15,2013,959903,11994,263311,57035,153885,100056,199229,66047,19326,14649,873538,91.0,1074149,651144,620203,30942,4.75,60.62,57.74
Illinois,17,2013,8593665,158360,2321273,565936,1246409,654943,1698605,776179,179096,106222,7548663,87.84,10027607,6558247,5963896,594350,9.06,65.4,59.47
Indiana,18,2013,4312892,70915,1478163,294942,623615,352907,655276,273795,55337,42811,3776846,87.57,5064442,3192665,2953457,239208,7.49,63.04,58.32
Iowa,19,2013,2048270,26416,670345,152509,285121,226473,370188,116336,29703,25282,1875957,91.59,2405162,1676882,1597567,79315,4.73,69.72,66.42
Kansas,20,2013,1872445,25273,498426,152041,308223,146088,374418,148912,34607,23479,1686194,90.05,2183614,1489830,1410946,78885,5.29,68.23,64.62
Kentucky,21,2013,2953653,41273,979031,194397,419173,224279,392610,198007,48363,28046,2483906,84.1,3411413,2056652,1893497,163155,7.93,60.29,55.5
Louisiana,22,2013,3034973,51806,1019022,163229,489933,164926,453347,152983,47098,30799,2521337,83.08,3525455,2101862,1967289,134572,6.4,59.62,55.8
Maine,23,2013,953962,9610,322855,58149,134289,91720,172498,67663,16012,13015,876201,91.85,1085150,704333,657259,47074,6.68,64.91,60.57
Maryland,24,2013,4018701,66776,1030851,249366,545995,252612,814992,472174,118336,98303,3582629,89.15,4639292,3129500,2925343,204156,6.52,67.46,63.06
Massachusetts,25,2013,4604795,63479,1190870,224996,513375,355093,1037415,571811,126812,119338,4139710,89.9,5407696,3517511,3284165,233346,6.63,65.05,60.73
Michigan,26,2013,6645295,109211,1971925,501009,1088111,594224,1089029,514299,104552,79507,5942656,89.43,7826581,4737929,4324878,413052,8.72,60.54,55.26
Minnesota,27,2013,3629333,46238,955079,246719,549770,386177,813237,279738,75405,48503,3354628,92.43,4218760,2961662,2812495,149167,5.04,70.2,66.67
Alabama,1,2014,3256766,63527,1028665,198029,511129,256777,478058,201391,51876,33082,2759007,84.72,3783191,2164596,2018737,145858,6.74,57.22,53.36
Alaska,2,2014,465149,4531,131987,35472,96087,38086,85634,33103,7223,4304,431896,92.85,540373,364337,339775,24562,6.74,67.42,62.88
Arizona,4,2014,4436226,86447,1079812,344474,794213,376649,765784,328400,74530,53578,3817440,86.05,5178008,3118416,2906136,212280,6.81,60.22,56.12
Arkansas,5,2014,1968414,30869,686786,131244,316818,123871,272411,104636,24531,19380,1679677,85.33,2287195,1327893,1249646,78247,5.89,58.06,54.64
California,6,2014,25654292,651643,5360853,1463370,4097190,2002684,5120162,2035257,586986,394265,21060767,82.09,29962936,18677101,17264825,1412276,7.56,62.33,57.62
Colorado,8,2014,3584463,51274,783816,228712,564212,294629,862158,373532,75829,62693,3245581,90.55,4142393,2800294,2661000,139295,4.97,67.6,64.24
Delaware,10,2014,640343,10016,199747,37791,85470,50787,116931,57035,10712,11203,569676,88.96,737067,452658,427333,25326,5.59,61.41,57.98
District of Columbia,11,2014,463211,4788,84213,16560,46376,15936,112706,86777,36729,18460,417757,90.19,547902,379819,350542,29277,7.71,69.32,63.98
Connecticut,9,2014,2471818,33761,680274,133471,288203,184589,527472,298684,71642,42316,2226651,90.08,2867360,1889095,1764021,125074,6.62,65.88,61.52
Florida,12,2014,14041196,309482,4151300,900683,2004771,1358245,2448663,964916,261794,155131,12245503,87.21,15947214,9546102,8931062,615040,6.44,59.86,56.0
Georgia,13,2014,6576408,115803,1869967,372490,1016920,462543,1199733,503513,126094,81260,5632520,85.65,7652862,4745981,4406892,339089,7.14,62.02,57.58
Idaho,16,2014,1045193,16394,294862,96818,191639,97174,175108,58255,16311,11848,942015,90.13,1226459,777062,742988,34073,4.38,63.36,60.58
Hawaii,15,2014,974586,11869,277667,55478,156064,102149,200315,66113,22015,13896,893697,91.7,1080245,664112,635967,28145,4.24,61.48,58.87
Illinois,17,2014,8639076,151056,2305681,567622,1240128,670372,1737022,808866,178177,109342,7617210,88.17,10049204,6515400,6047928,467472,7.17,64.83,60.18
Indiana,18,2014,4342916,68684,1488013,288684,625951,367996,682893,290178,55635,41896,3841246,88.45,5093836,3229213,3037398,191815,5.94,63.39,59.63
Iowa,19,2014,2062734,21588,654890,147511,293611,233906,383943,129844,31909,24730,1900344,92.13,2420070,1699028,1627047,71981,4.24,70.21,67.23
Kansas,20,2014,1881521,26756,498750,154706,298813,153284,381292,156450,33162,22180,1698637,90.28,2194460,1494143,1426810,67332,4.51,68.09,65.02
Kentucky,21,2014,2967181,39544,1003583,197815,416570,228473,386963,197252,47789,27697,2506142,84.46,3427723,2006479,1877630,128849,6.42,58.54,54.78
Louisiana,22,2014,3060688,56613,1033528,164415,493580,165066,463860,160595,47873,29268,2558185,83.58,3546849,2141397,2007560,133837,6.25,60.37,56.6
Maine,23,2014,959407,11176,310287,59158,135341,93426,185890,69374,14346,12171,879993,91.72,1089256,698028,659099,38930,5.58,64.08,60.51
Maryland,24,2014,4062813,59121,1043926,240278,536437,265874,841315,489164,121503,101702,3640199,89.6,4670634,3124848,2945699,179149,5.73,66.9,63.07
Massachusetts,25,2014,4654351,66814,1161032,218769,512158,365816,1077993,594755,131136,112845,4174504,89.69,5461991,3568913,3364107,204806,5.74,65.34,61.59
Michigan,26,2014,6680525,102030,1980847,499790,1076213,618746,1105362,529318,115303,77356,6002935,89.86,7859938,4758936,4415420,343516,7.22,60.55,56.18
Minnesota,27,2014,3672583,45644,943377,245342,548621,404201,834094,295956,75732,52752,3400075,92.58,4252305,2979741,2852632,127109,4.27,70.07,67.08
Mississippi,28,2014,1950710,36612,585936,115390,334622,167835,254250,112856,26090,17757,1614736,82.78,2272489,1243840,1149332,94507,7.6,54.73,50.58
Missouri,29,2014,4076767,60924,1279755,293320,625111,304044,696669,307730,68066,48246,3622941,88.87,4713011,3035420,2848543,186877,6.16,64.41,60.44
Montana,30,2014,695850,8505,213165,45863,124370,57211,135401,48606,11287,8545,644448,92.61,806981,512845,488949,23895,4.66,63.55,60.59
Nebraska,31,2014,1224701,16496,333560,95240,188153,126818,247729,82051,18375,13614,1105540,90.27,1431323,1012568,979639,32928,3.25,70.74,68.44
Nevada,32,2014,1919598,51002,540814,142022,352787,154943,291473,105579,29796,16615,1634029,85.12,2192082,1380092,1267421,112670,8.16,62.96,57.82
New Hampshire,33,2014,931304,10983,265993,55501,119492,91285,201723,92567,17685,14055,858301,92.16,1083434,743873,711797,32076,4.31,68.66,65.7
New Jersey,34,2014,6127931,100464,1729723,310162,735270,391582,1415973,633971,146463,94861,5458005,89.07,6994770,4493706,4191226,302480,6.73,64.24,59.92
New Mexico,35,2014,1373822,25123,362284,81677,240044,109771,206947,110475,19348,26164,1156710,84.2,1605079,932024,870554,61470,6.6,58.07,54.24
New York,36,2014,13539612,300307,3599907,624873,1552848,1163427,2651150,1459502,363125,194205,11609037,85.74,15690912,9524310,8926217,598093,6.28,60.7,56.89
North Carolina,37,2014,6661937,87670,1772285,423979,1035991,614392,1239857,481543,103494,87670,5759211,86.45,7688413,4698855,4411456,287399,6.12,61.12,57.38
North Dakota,38,2014,478850,5466,133393,33060,79340,64475,94873,24779,6226,5438,441584,92.22,570413,409472,398732,10740,2.62,71.79,69.9
Ohio,39,2014,7857460,126308,2666563,523788,1079663,659197,1301747,576319,126136,88016,7021429,89.36,9097253,5712911,5381112,331799,5.81,62.8,59.15
Oklahoma,40,2014,2529885,39705,801435,188500,420738,185914,405799,145813,36137,23619,2207955,87.27,2945666,1798113,1720085,78029,4.34,61.04,58.39
Oregon,41,2014,2746957,44733,666778,223519,495115,231853,528064,224113,54432,39637,2463511,89.68,3164439,1949607,1820209,129398,6.64,61.61,57.52
Pennsylvania,42,2014,8858865,133594,3220327,477418,957508,700919,1554120,729846,159382,124377,7923897,89.45,10205656,6388980,6009665,379314,5.94,62.6,58.89
Rhode Island,44,2014,725871,11465,208366,37804,95861,59701,131408,61834,14100,13552,622626,85.78,853716,556751,513502,43248,7.77,65.21,60.15
South Carolina,45,2014,3260929,56965,989223,187997,486246,288524,543917,232819,46936,33301,2808963,86.14,3759002,2222607,2082929,139678,6.28,59.13,55.41
South Dakota,46,2014,555488,5237,170122,33854,88120,62802,111108,30003,7382,5723,509114,91.65,643820,450720,435728,14992,3.33,70.01,67.68
Tennessee,47,2014,4425073,70351,1473547,270428,637701,296099,717801,280082,67725,52699,3796082,85.79,5109856,3043608,2842364,201244,6.61,59.56,55.63
Texas,48,2014,17087888,284665,4298854,1074624,2772573,1147113,3104847,1184625,266893,192664,14042193,82.18,20086438,13006808,12333298,673509,5.18,64.75,61.4
Vermont,50,2014,438279,5419,134352,24586,57369,34024,91472,43653,10253,7523,403232,92.0,513649,348751,334805,13945,4.0,67.9,65.18
Utah,49,2014,1704734,30740,391862,137522,329813,168810,353832,127178,26075,23118,1558210,91.4,2099304,1415850,1364382,51469,3.64,67.44,64.99
Virginia,51,2014,5623295,77210,1382376,339427,781292,408872,1173872,655001,137648,99818,4978306,88.53,6441177,4258966,4040987,217979,5.12,66.12,62.74
Washington,53,2014,4784484,82247,1090724,371353,799271,479799,1005685,410459,100407,68225,4325923,90.42,5522477,3494824,3287769,207055,5.92,63.28,59.53
West Virginia,54,2014,1296350,15293,532918,74701,164026,84402,152434,70397,14478,10948,1104304,85.19,1484923,795676,743891,51785,6.51,53.58,50.1
Wisconsin,55,2014,3898162,63124,1244668,256185,549750,402829,736544,269393,60549,41608,3561526,91.36,4526945,3077936,2913619,164316,5.34,67.99,64.36
Wyoming,56,2014,388962,4395,106759,35128,73289,41611,69557,23807,5370,4599,360120,92.58,449700,302865,289699,13166,4.35,67.35,64.42
Mississippi,28,2015,1952337,36062,605790,109253,328751,179135,253036,111893,24201,17469,1629528,83.47,2278953,1259920,1178250,81669,6.48,55.29,51.7
Missouri,29,2015,4097212,57180,1269953,293251,622709,316815,706922,320428,67649,45861,3643588,88.93,4735158,3057901,2901889,156012,5.1,64.58,61.28
Montana,30,2015,706329,6930,222399,44316,117071,60796,144135,50044,11866,10129,660756,93.55,814805,517782,495626,22155,4.28,63.55,60.83
Nebraska,31,2015,1232583,15209,331868,93577,199169,125055,244556,90029,21162,16541,1121957,91.02,1440994,1011802,981460,30342,3.0,70.22,68.11
Nevada,32,2015,1968167,51883,549151,153443,358921,159610,304948,112195,28328,18210,1684806,85.6,2235028,1396826,1301281,95546,6.84,62.5,58.22
New Hampshire,33,2015,937214,10161,267078,58464,121519,91199,205513,97780,17948,13072,872573,93.1,1089562,746323,720896,25426,3.41,68.5,66.16
New Jersey,34,2015,6166384,104010,1757377,311674,712424,392077,1437307,638113,151341,91312,5491625,89.06,7012397,4494823,4238646,256177,5.7,64.1,60.45
New Mexico,35,2015,1377548,17782,369807,85843,239513,106315,198116,115927,24107,26312,1165940,84.64,1610774,938333,876411,61922,6.6,58.25,54.41
New York,36,2015,13641473,297692,3615023,617781,1559272,1155067,2727078,1474536,372093,204756,11725606,85.96,15718034,9536782,9037180,499601,5.24,60.67,57.5
North Carolina,37,2015,6762644,89316,1785510,425005,1027840,623813,1277412,511174,110281,92190,5853225,86.55,7792798,4763512,4494238,269274,5.65,61.13,57.67
North Dakota,38,2015,492017,5668,135670,30922,80799,64255,105625,24169,7182,6427,455049,92.49,580163,410835,399328,11507,2.8,70.81,68.83
Ohio,39,2015,7896470,121860,2664823,545421,1078506,679330,1329009,573041,126835,86231,7083196,89.7,9127141,5712032,5429453,282579,4.95,62.58,59.49
Oklahoma,40,2015,2557863,38827,808375,188756,417314,188756,421765,149714,32723,25802,2233205,87.31,2971677,1828996,1750532,78464,4.29,61.55,58.91
Oregon,41,2015,2804461,50382,654930,238288,484560,245431,566244,233801,59402,42220,2524876,90.03,3214603,1979732,1871782,107951,5.45,61.59,58.23
Pennsylvania,42,2015,8895727,127855,3174802,487639,935635,739478,1611499,740396,169282,119846,7978577,89.69,10218363,6423542,6077358,346184,5.39,62.86,59.47
Rhode Island,44,2015,730083,12267,204295,41238,93535,62153,141131,69245,15107,13335,640039,87.67,855938,555147,521712,33434,6.02,64.86,60.95
South Carolina,45,2015,3319832,58723,977099,200919,484998,312720,575843,234180,46010,34208,2865977,86.33,3822409,2268262,2134596,133666,5.89,59.34,55.84
South Dakota,46,2015,563108,8120,175958,37447,82482,62294,110562,30370,6912,7041,513066,91.11,648268,453124,439347,13777,3.04,69.9,67.77
Tennessee,47,2015,4473487,75265,1482137,275055,640910,300500,719980,306012,70973,54115,3849682,86.06,5159198,3074390,2903378,171012,5.56,59.59,56.28
Texas,48,2015,17472861,295077,4425654,1087549,2728922,1204220,3266266,1239900,262623,186585,14401719,82.42,20509247,13091904,12506142,585762,4.47,63.83,60.98
Vermont,50,2015,438654,4708,127127,22244,52826,37916,97824,45406,10940,7902,402185,91.69,514884,346508,334255,12253,3.54,67.3,64.92
Utah,49,2015,1741949,31067,421822,134157,323883,159609,368302,133071,29826,23513,1594183,91.52,2140901,1453624,1402170,51454,3.54,67.9,65.49
Virginia,51,2015,5685318,81182,1399157,346176,781225,426955,1209217,651715,137045,104067,5055557,88.92,6495053,4233488,4048007,185481,4.38,65.18,62.32
